Name,PPG,APG,RBG,FG%,3PT%,FT%
Garrett Temple,4.4,1.1,2.3,36.4,27.8,66.2
Garrison Mathews,9.8,1.0,2.9,41.0,38.7,78.1
Gary Clark,3.8,0.7,3.2,36.7,36.8,71.4
Gary Harris,10.3,1.6,1.9,43.1,37.6,84.7
Gary Payton II,6.6,1.0,3.2,61.6,32.3,67.0
Gary Trent Jr.,19.1,2.1,2.7,40.5,36.2,84.1
George Hill,5.3,1.9,2.8,42.1,30.1,87.8
Georges Niang,8.9,1.3,2.6,43.9,40.1,85.5
Giannis Antetokounmpo,27.2,6.5,11.3,55.3,35.8,70.7
Goga Bitadze,9.4,1.7,4.4,53.3,32.7,67.3
Goran Dragić,6.4,3.5,3.0,38.1,25.8,81.6
Gordon Hayward,14.1,3.2,4.2,44.3,34.9,81.4
Gorgui Dieng,4.8,0.9,3.0,45.5,39.7,71.3
Grant Williams,8.1,1.0,3.7,46.5,38.9,89.2
Grayson Allen,10.1,1.5,3.2,43.0,37.2,84.9
Greg Brown III,7.1,1.1,3.9,43.8,27.4,73.4
Hamidou Diallo,11.1,1.4,4.6,49.0,27.6,63.3
Harrison Barnes,14.2,2.3,4.9,45.2,35.6,78.1
Hassan Whiteside,6.7,0.4,6.0,60.0,0.0,61.5
Herbert Jones,9.8,2.2,3.9,46.6,31.9,82.8
Ignas Brazdeikis,5.8,1.1,1.9,46.3,36.5,69.0
Immanuel Quickley,11.6,3.2,2.9,39.8,33.8,85.3
Isaac Okoro,9.3,2.1,3.2,48.7,33.7,80.0
Isaiah Hartenstein,8.6,2.5,5.0,60.7,41.0,71.2
Isaiah Jackson,10.1,0.4,4.5,55.8,28.8,67.9
Isaiah Joe,6.1,1.1,1.5,35.5,32.5,90.6
Isaiah Roby,10.5,1.7,4.9,49.8,39.0,69.5
Isaiah Stewart,10.1,1.7,9.5,50.5,30.0,71.5
Isaiah Thomas,7.1,1.4,1.2,40.3,33.8,80.7
Ish Smith,5.0,3.0,1.8,41.7,35.8,70.2
Ish Wainright,3.3,0.4,1.6,41.5,30.2,65.3
Ivica Zubac,11.1,1.9,8.6,61.4,0.0,74.2
JT Thor,4.0,1.4,2.4,46.3,33.8,66.3
Ja Morant,27.5,7.1,6.2,48.7,30.8,77.6
JaMychal Green,5.8,0.9,3.7,51.5,31.1,84.7
JaVale McGee,7.7,0.5,6.0,62.7,28.8,70.2
Jaden McDaniels,11.1,1.5,4.6,45.8,31.5,77.7
Jae Crowder,7.8,1.7,4.8,40.1,33.6,78.9
Jae'Sean Tate,10.7,2.7,5.1,49.0,30.0,73.2
Jake Layman,3.3,0.4,1.5,41.1,27.9,70.7
Jakob Poeltl,12.6,2.9,8.7,64.3,25.0,54.2
Jalen Brunson,15.7,4.6,3.8,49.6,35.0,81.4
Jalen Green,20.7,2.9,3.6,44.9,34.1,74.4
Jalen Johnson,4.9,0.2,2.4,53.2,21.2,71.1
Jalen McDaniels,7.3,1.4,3.5,47.6,34.6,74.3
Jalen Smith,11.1,0.7,6.6,51.1,31.6,79.7
Jalen Suggs,13.7,5.2,4.0,38.7,23.5,75.0
James Bouknight,6.0,1.1,2.1,34.6,34.5,84.3
James Harden,20.3,9.6,7.3,41.2,33.1,83.6
James Johnson,4.5,1.8,3.0,46.1,19.6,56.2
James Wiseman,14.4,0.9,6.9,49.7,32.5,61.6
Jared Butler,8.4,3.5,2.2,43.1,33.9,74.0
Jaren Jackson Jr.,16.6,1.2,6.0,42.1,31.1,79.7
Jarred Vanderbilt,7.3,1.6,8.3,60.2,16.2,64.8
Jarrett Allen,15.7,1.8,10.3,68.5,1.2,68.8
Jarrett Culver,6.0,1.6,1.9,40.1,25.5,53.7
Javonte Green,7.3,0.9,4.0,51.9,32.3,83.7
Jaxson Hayes,11.2,0.8,5.0,62.5,33.8,79.8
Jaylen Brown,22.2,3.5,6.2,44.5,31.2,76.9
Jaylen Nowell,9.5,2.4,2.2,47.0,35.3,79.9
Jayson Tatum,26.1,4.5,8.0,44.4,33.4,84.1
Jeff Green,6.5,1.0,2.3,52.6,30.5,78.6
Jerami Grant,18.5,2.3,4.2,42.3,35.1,81.2
Jeremiah Robinson-Earl,9.0,1.3,6.2,42.0,33.9,77.2
Jeremy Lamb,6.8,1.4,2.8,41.8,36.5,82.5
Jericho Sims,3.7,0.8,6.3,75.2,0.0,44.8
Jevon Carter,5.6,2.1,2.2,40.1,41.4,80.6
Jimmy Butler,19.1,5.3,5.9,46.4,26.5,84.0
Jock Landale,6.6,1.1,3.4,47.5,29.7,81.4
Joe Ingles,5.6,2.9,2.5,39.5,29.6,72.6
Joe Wieskamp,3.6,0.5,0.7,37.9,32.6,61.4
Joel Embiid,27.8,4.7,11.4,49.5,36.4,78.9
John Collins,16.2,1.8,7.3,51.7,33.1,80.1
John Konchar,5.1,1.7,4.8,55.5,46.3,67.2
Jonas Valančiūnas,15.8,2.4,10.0,52.4,32.6,77.6
Jonathan Kuminga,12.2,1.3,3.7,48.9,34.4,67.5
Jordan Clarkson,13.9,2.3,3.0,45.7,35.8,81.3
Jordan McLaughlin,5.9,4.9,2.1,45.2,34.2,73.7
Jordan Nwora,8.2,1.0,3.7,44.1,42.5,80.1
Jordan Poole,18.9,4.3,3.5,45.4,35.5,89.6
Jose Alvarado,7.0,3.6,2.2,48.0,34.3,71.4
Josh Christopher,10.0,2.5,2.8,44.4,27.2,73.2
Josh Giddey,16.0,8.0,8.9,42.2,33.0,69.4
Josh Green,6.2,1.7,2.9,51.6,34.6,71.8
Josh Hart,14.4,4.2,6.9,49.6,33.0,78.5
Josh Jackson,7.6,1.4,3.2,40.8,28.9,69.4
Josh Okogie,4.5,0.8,2.1,43.4,35.1,72.2
Josh Richardson,9.1,1.8,2.8,44.0,41.3,86.2
Joshua Primo,8.6,2.8,3.5,38.4,29.1,78.9
Jrue Holiday,16.2,6.0,4.1,48.4,36.7,73.2
Juan Toscano-Anderson,4.8,2.1,2.8,49.5,27.4,58.4
Juancho Hernangómez,4.4,0.7,3.3,45.6,40.2,68.1
Julius Randle,18.7,5.2,9.3,42.7,33.5,73.9
Justin Champagnie,4.7,0.7,3.9,47.7,36.9,97.0
Justin Holiday,7.9,1.6,2.3,38.8,40.1,79.5
Justin Robinson,4.8,2.1,1.1,33.8,30.2,61.2
Justise Winslow,6.0,2.0,4.4,46.2,25.4,72.1
Jusuf Nurkić,14.3,3.0,10.4,53.5,32.7,67.6
KZ Okpala,6.3,1.2,2.9,43.0,31.0,74.2
Kai Jones,2.2,0.5,1.0,63.9,13.3,41.1
Karl-Anthony Towns,23.9,3.8,9.8,50.8,37.3,80.7
Keifer Sykes,5.4,1.9,1.4,36.4,29.9,85.6
Keita Bates-Diop,5.3,0.7,3.5,51.7,32.5,75.8
Kelan Martin,6.1,0.8,2.0,40.2,28.2,71.6
Keldon Johnson,17.3,2.3,6.3,46.1,35.6,77.1
Keljin Blevins,4.2,0.8,2.0,33.6,33.7,66.3
Kelly Olynyk,8.5,2.7,4.4,45.2,33.4,77.4
Kelly Oubre Jr.,14.5,1.1,3.8,43.3,33.1,69.1
Kemba Walker,9.4,3.1,2.7,38.9,32.8,81.3
Kenrich Williams,7.8,2.4,4.7,48.6,31.8,61.0
Kent Bazemore,4.7,1.0,1.9,31.9,39.7,75.4
Kentavious Caldwell-Pope,11.8,1.9,3.4,43.7,38.8,86.3
Kenyon Martin Jr.,9.3,1.5,4.1,53.0,9.5,69.5
Keon Johnson,8.2,2.2,2.6,37.2,33.8,75.1
Kessler Edwards,7.6,0.8,4.4,41.0,35.1,81.5
Kevin Durant,29.5,7.1,7.5,51.2,37.6,87.7
Kevin Huerter,12.2,2.9,3.3,44.5,36.8,79.7
Kevin Knox,5.3,0.5,2.2,38.9,34.5,72.3
Kevin Love,10.7,1.7,5.9,42.5,38.5,80.7
Kevin Pangos,1.8,1.6,0.6,35.6,26.0,73.7
Kevin Porter Jr.,18.0,6.9,4.7,44.2,40.0,69.1
Kevon Looney,6.1,2.1,7.1,57.4,0.0,60.0
Khem Birch,4.2,1.1,4.0,50.9,0.0,72.6
Khris Middleton,17.7,5.1,5.0,43.4,35.5,86.3
Killian Hayes,8.7,5.4,3.6,41.1,28.8,74.7
Killian Tillie,5.6,1.0,2.6,36.4,37.0,65.7
Kira Lewis Jr.,8.9,3.2,2.2,43.3,24.6,80.8
